Category,Style Name,Description,Fabric Description,Price,Product Link
Jacket,"EBON AURA LEATHER JACKET","Fabrication - high-quality, durable vegan leather, offering a sleek and cruelty-free alternative to traditional leather. Style - straight fit. Color - black. A bold, minimalist design that effortlessly blends sophistication with urban street style. Set against the breathtaking Ladakh backdrop, this black vegan leather jacket redefines modern elegance with its snap button closure. Crafted from sustainable, premium vegan leather, it exudes understated luxury, perfectly complementing the rugged landscape.","COTTON PLAID FABRIC RAW EDGES COTTON JERSEY IN POCKET AND COLLAR",12999,https://vasavi.co/products/ebon-aura
Jacket,"SHANTI NOIR JACKET","The jacket offers a contemporary, edgy silhouette, ideal for both casual and semi-formal wear. Shot in the rugged landscapes of Ladakh, the brown vegan leather jacket with adjustable zippers captures the essence of boldness and versatility.","Fabrication - high-quality vegan leather, offering a sleek, ethical alternative to traditional leather.",9999,https://vasavi.co/products/shanti-noir
Jacket,"TUNDRA GUARD JACKET","Puffer jacket design combines functionality with bold aesthetics, ensuring comfort and warmth without compromising on style. Relaxed and comfortable, designed to fit all body types while maintaining a trendy, fashion-forward look.","Fabrication - poly-fabric with tie-dye print having comfortable lining. Extended turtleneck with rib fabric",9999,https://vasavi.co/products/tundra-guard
Jacket,"ECHOES OF PAST JACKET","Inspired by traditional Warli art, the jacket features intricate prints that add a unique, cultural touch to the design. The black color and Warli art print make it easy to pair with a variety of outfits, offering a blend of contemporary and traditional aesthetics.","Fabrication - Soft fleece with innerlining of satin fabric.",3299,https://vasavi.co/products/echos-of-the-past
Jacket,"SASHIMI JACKET","A stylish, versatile jacket that pairs well with a variety of outfits, offering both warmth and a trendy look. Embracing the spirit of Disrupt, this blended wool jacket with a leather sleeve patch fuses classic warmth with bold, modern edge. Its sleek design and innovative details break tradition, offering a fresh take on timeless style.","Fabrication - premium blended wool fabric, offering warmth and comfort with a refined texture.",2699,https://vasavi.co/products/sashimi
Jacket,"TRIPPULSE JACKET","A distinctive zipper detail seamlessly integrated into one of the flap pockets adds a unique, contemporary touch to the design. The overall design exudes a rugged, stylish vibe while offering functional and sleek storage options.","Suede and leather combination - Made from premium suede with leather pockets, offering a combination of softness and durability for a rugged, sophisticated look",3699,https://vasavi.co/products/trippulse
Jacket,"WARPNET JACKET","The raglan-sleeve design blends sporty aesthetics with a refined, streamlined silhouette. Perfect for achieving a modern, minimalist style, combining both comfort and sophistication.","Fabrication - stretchy and comfortable spandex with soft mesh combination.",3499,https://vasavi.co/products/wrapnet
Jacket,"ZIP & GO JACKET","The overlocked edges add a modern design element, enhancing the chinos' overall style and durability. AM to PM Wear - Ideal for both day and night wear, easily transitioning from casual daytime outings to more formal evening settings.","Fabrication - high-quality cotton drill fabric, offering durability, breathability, and comfort.",2699,https://vasavi.co/products/zip-n-go
Jacket,"CROPPED TUNDRA GUARD","Relaxed and comfortable, designed to fit all body types while maintaining a trendy, fashion-forward look. Cropped Puffer jacket design combines functionality with bold aesthetics, ensuring comfort and warmth without compromising on style.","Fabrication - poly-fabric with tie-dye print having comfortable lining. Extended turtleneck with rib fabric",8000,https://vasavi.co/products/cropped-tundra-guard
Bottoms,"BLUE CARGO PANTS","Baggy pants paired with an attached crop top. The crop top will have adjustable straps. The belt will be made from the same fabric as the outfit. A zipper will run from the hips to the upper back. Smocking will be added at the back for better fit and flexibility.","Blue Denim",2899,https://vasavi.co/products/blue-cargo
Bottoms,"CHILLINOS PANTS","The overlocked edges add a modern design element, enhancing the chinos' overall style and durability. AM to PM Wear - Ideal for both day and night wear, easily transitioning from casual daytime outings to more formal evening settings.","Fabrication - high-quality cotton drill fabric, offering durability, breathability, and comfort.",2399,https://vasavi.co/products/chillinos
Bottoms,"PARACHUTE PANTS","Features an elasticated waist and bottom cuffs, ensuring a secure and adjustable fit. Zipper designs are added to enhance the overall look, giving the pants a cool, modern edge.","Fabrication - lightweight, durable poly fabric, offering comfort and flexibility",2399,https://vasavi.co/products/parachute-pants
Bottoms,"DARK KNIGHT PANTS","These pants offer a balance of classic styling and contemporary details, perfect for both casual and semi-casual looks.","Fabrication - outershell - polysuiting and pu leather, innershell lining - fleece for soft feel.",3000,https://vasavi.co/products/dark-knight
Bottoms,"ROGUE SPLIT PANTS","Stunning contrast color combination - Black and Plum. Modern and stylish, with a flattering fit. Versatile for both casual and formal occasions.","Fabric blend - Combination of wool and suede.",3800,https://vasavi.co/products/rogue-split
Bottoms,"Costura Bolso Shorts","Cut from durable yet breathable twill, these men's shorts feature an elasticated waist for comfort and ease. The highlight: contrasting utility pockets bordered with intricate cord work embroidery—a detail that adds motion, depth, and raw identity to a minimal frame. It’s the kind of balance you’d find in Goa—where tradition and function meet on their own terms, and no stitch feels accidental.","100% COTTON",1200,https://vasavi.co/products/costura-bolso-shorts
Bottoms,"Mosaico Shorts","Rooted in ease, finished with identity. These shorts are tailored in soft, breathable cotton twill to complement the flow of the matching shirt. Cut for structure without stiffness, they feature a relaxed fit and clean lines—finished with an embroidered Vasavi patch that speaks without shouting. A subtle nod to belonging, made for places where labels aren’t loud, but they still mean something.","98%-COTTON & 2%-Lycra",1299,https://vasavi.co/products/mosaico-shorts
Bottoms,"Ponto Corda Mini Skirt","Crafted for movement and sharp detail, this asymmetrical mini skirt is made from breathable cotton twill with a clean, structured fit. A concealed side zipper keeps the finish smooth, while tonal cord work zig-zags across the front—bringing bold texture to a minimal shape. Halfway through the design, the piece nods to Goa’s freeform energy—where paths aren’t always straight, but every curve leads somewhere meaningful.","COTTON",1299,https://vasavi.co/products/ponto-corda-mini-skirt
Bottoms,"Corda Hem Skirt","Crafted with precision and purpose, this skirt pairs clean lines with artisanal detail. Made from natural cotton twill, its standout feature is a curved green cord embroidery tracing the front—softly breaking symmetry while inviting movement. At its heart, the piece carries a quiet nod to Goa—not through motifs, but through the energy of handwork and the flow of coastal paths translated into fabric.","COTTON",1299,https://vasavi.co/products/corda-hem-skirt
Corset,"CORSETICA CORSET","The corset top from the Disrupt collection merges sculptural elegance with bold design. Crafted from luxurious fabrics, it creates a striking, confident silhouette, redefining femininity with modern innovation and unapologetic style.","Fabrication - RIB. Style - bodyfitted garment with adjustable waist belt with drawstrings.",1699,https://vasavi.co/products/corsetica
Corset,"ELYSIAN CURVE CORSET","A perfect embodiment of breaking the norm and wearing the change, it merges practicality with contemporary sophistication for the style-conscious individual.","Fabrication - soft, comfortable denim, this dungaree offers flexibility and durability for everyday wear.",3499,https://vasavi.co/products/elysian-curve
Corset,"EMBODY GRACE CORSET","Perfect for both casual and evening wear, the bodysuit blends elegance with contemporary design.","Fabrication - combination of mesh and Lycra, offering a breathable, stretchy fit that molds to your body for a comfortable, flattering silhouette.",3599,https://vasavi.co/products/embody-grace
Corset,"RAW ALLURE CORSET","A perfect fusion of contemporary design and premium craftsmanship. Color Palette - black pu leather and grey spandex. The combination of leather and spandex creates a perfect balance of luxury and comfort, making it ideal for a modern, high-fashion look.","Fabrication - PU leather combined with spandex for perfect fit.",2399,https://vasavi.co/products/raw-allure
Corset,"SERENE DRAPE CORSET","Embodying the essence of Disrupt, in bold black and plum merges sophistication with audacious design. The sleek scoop neck, side zipper, and daring side slit redefine modern elegance, breaking tradition with every step.","Fabrication - combination of soft wool and mesh.",4699,https://vasavi.co/products/serene-drape
Shirt,"BOXED BREEZE","Crafted from soft, breathable fabric blends, it offers everyday comfort with a structured feel. The red and black plaid pattern channels effortless Americana, while the button-down front and short length add a street-smart, fashion-forward edge.","Fit - Cropped silhouette. Material - Cotton, flannel, or polyester blends.",1999,https://vasavi.co/products/boxed-breeze
Shirt,"SLEEK MODE JACKET","Linen fabric offers a soft texture against the skin while remaining cool and comfortable throughout the day. A wardrobe staple that can be dressed up or down, ideal for layering or wearing on its own for an effortlessly stylish appearance.","Premium linen fabric - high-quality linen, offering a lightweight, breathable feel perfect for warm weather and comfort.",2499,https://vasavi.co/products/sleek-mode
Shirt,"DESERT BLOOM","Cactus embroidery gives the shirt a deserty vibe, evoking a laid-back, nature-inspired aesthetic.","Fabrication - Crafted from 240 GSM jersey, offering a soft, breathable feel with a premium, durable finish.",2499,https://vasavi.co/products/desert-bloom
Shirt,"FIELD FLANNEL","The high-quality plaid fabric, paired with a relaxed unisex fit, embodies a refined rebellion. With versatile multi-color tones and sophisticated jersey details, it seamlessly merges comfort with modern elegance, perfect for both casual and semi-formal occasions.","Fabrication - high-quality plaid fabric, offering a classic, timeless pattern with a rich multi-color combination. 220 GSM jersey for collar and pockets.",2299,https://vasavi.co/products/field-and-flannel
Shirt,"LUCIDNET","This raglan sleeve t-shirt, crafted from premium Crocia fabric, channels a techno-infused design with its sleek, minimalist silhouette. The relaxed fit and contemporary styling offer a perfect fusion of comfort and futuristic elegance.","Crocia fabric - high-quality Crocia fabric, offering a soft and breathable feel for maximum comfort.",2299,https://vasavi.co/products/lucidnet
Shirt,"Discordo Shirt","This box-pleated shirt is cut from breathable fabric with a structured drape that holds its shape while staying light on the skin. The silhouette is clean, sharp, and architectural—disrupted intentionally by random cord work embroidery that moves across the surface like hand-drawn lines. There’s tension and rhythm in the contrast—like the curated chaos of Goa’s hidden corners, where tradition meets wild instinct.","COTTON",2499,https://vasavi.co/products/discordo-shirt
Shirt,"Camisa Classic Shirt","Crafted with ocean calm and daily ease, this notch collar shirt is stitched from 30s twill—lightweight, soft, and effortless to wear. Embroidered sea creatures add quiet texture, as if they surfaced directly from memory. There’s a hint of Goa in its flow—not in form, but in feeling. A garment that knows how to pause, wander, and return to itself—just like the coast it quietly echoes.","COTTON & Lycra",1999,https://vasavi.co/products/camisa-classic-shirt
Shirt,"Marina Classic Shirt","Crafted for comfort and elegance, this menswear shirt features premium fabric, coastal-inspired details, and timeless structure—ideal for those who wear their values.","MODAL & BEMBERG",1999,https://vasavi.co/products/marina-classic-shirt
Shirt,"Carril & Collar","This men’s shirt is crafted from autumn-weight fabric—substantial yet breathable, designed to hold its shape as seasons shift. The silhouette is clean and intentional, but it’s the embroidery on the collar and sleeve that sets it apart—inspired by the graphic lines, signage scripts, and iron latticework found across historic Portuguese railway stations.","COTTON",4000,https://vasavi.co/products/carril-collar
Shirt,"Brisa Rosa Oversized Shirt","This oversized pleated shirt is made from soft cotton, designed to hold volume without weight. The pleats give it form, the lace work breathes life into it—breaking up the fabric with light, line, and subtle contrast. It feels like walking through a sunlit corridor in old Goa—where shadows pass through arches and everything is seen, even in silence.","COTTON",3500,https://vasavi.co/products/brisa-rosa-oversized-shirt
Shirt,"Azul Oversized Shirt","This oversized shirt is cut from autumn-weight fabric that carries structure without stiffness. The tie-dye base echoes faded azulejo tiles, layered with ornate embroidery pulled from old Goan architecture—floral curves, sacred geometry, hand-meets-memory. It’s the kind of piece that feels like walking through Fountain has at dusk—worn walls, rich colors, and stories stitched into every corner.","COTTON",3299,https://vasavi.co/products/azul-oversized-shirt
T-Shirt,"BLUE BLOCK","Features a stylish denim patch with embroidered brand logo followed by hand stitch lines. A blend of casual style with intricate detailing, making it a versatile and fashionable piece.","High quality fabric - 240 GSM jersey with soft feel. Style - relaxed fit for both men and women.",1999,https://vasavi.co/products/blue-bloc
T-Shirt,"DREAMWAVE","Timeless black, exuding sophistication and versatility, seamlessly complementing any wardrobe. This garment embodies a techno-inspired ethos, blending futuristic design with premium craftsmanship. The intricate mesh overlay and applique detailing create a striking, avant-garde appeal.","Fabrication - 260 GSM jersey with mesh overlaying. Style - relaxed fit with 3/4th sleeve.",3800,https://vasavi.co/products/dreamwave
T-Shirt,"GALACTIC GLOW","A unique running stitch follows the boundary of the print, which adds the edge to the design. The Vasavi brand logo is placed at the center of the print, making it an eye-catching focal point.","High quality fabric - 240 GSM jersey with soft feel. Style - oversized tshirt. Ideal for both men and women.",1999,https://vasavi.co/products/glactic-glow
T-Shirt,"GOOD OL' DAYS","Features a towel embroidery that evokes a nostalgic sentiment, symbolizing the good ol days with a playful, vintage touch.","Fabrication - 240 GSM fabric, offering durability and a comfortable feel for all-day wear.",1999,https://vasavi.co/products/good-ol-days
T-Shirt,"IVASAV","The combination of relaxed fit and intricate embroidery gives the t-shirt a fashionable and contemporary appeal.","High quality fabric - 240 GSM jersey with soft feel. Style - relaxed fit for both men and women. Color - RFD white.",1999,https://vasavi.co/products/ivasavi
T-Shirt,"KHOVAR FLOW","Featuring a bold Khovar-inspired print, it merges cultural depth with modern design - a statement piece that balances tradition and individuality with effortless style.","Fabrication - 240 GSM jersey with soft and comfortable fit.",1999,https://vasavi.co/products/khovar-flow
T-Shirt,"MINDWARP","Combines two types of zippers-metal and Vislon-creating a modern, visually striking contrast that enhances the t-shirt's overall design. Merges fashion-forward design with utility, perfect for those seeking a modern, versatile piece with a touch of rugged sophistication.","Fabrication - 240 GSM tshirt. Style - The raglan sleeve design offers a relaxed, sporty silhouette, enhancing both comfort and style. Color - grey and black.",4000,https://vasavi.co/products/mindwrap
T-Shirt,"RUGGED REBEL","Digital prints enhance the shirt with sharp, vivid imagery, creating a bold and eye-catching statement.","Fabrication - 240 GSM jersey feels like nothing worn on. Style - oversized with raw edges. Color - olive.",1699,https://vasavi.co/products/rugged-rebel
T-Shirt,"TRUST NO LIMITS","Hard Trust' print on the front adds a powerful, statement-making element, reflecting confidence and resilience. Combines a relaxed fit with contemporary design, ideal for casual or semi-casual settings.","Fabrication - 240 GSM tshirt with PU leather combination. Style - oversized tshirt. Sleek PU leather sleeves, offering a bold contrast and a modern, edgy look. Color - off white.",2299,https://vasavi.co/products/trust-no-limit
T-Shirt,"Tee Macrame","This relaxed-fit t-shirt is cut in breathable fabric with a soft, lived-in hand feel. A single macramé patch sits on one shoulder—a tactile interruption that turns simplicity into statement. Each knot is placed with care, blending craftsmanship and calm. It holds the energy of Goa’s backstreets—where craft spills into everyday life, and detail lives without needing attention.","COTTON",1799,https://vasavi.co/products/tee-macrame
T-Shirt,"Roxa Oversized Tee","This unisex t-shirt in muted lavender is made for ease—minimal in form, yet meaningful in its finish. On both sleeves, delicate tonal embroidery unfolds like a quiet gesture—inspired by the lattice balconies, tiled corridors, and fading facades of Portuguese-Goan architecture.","COTTON",3299,https://vasavi.co/products/roxa-oversized-tee
T-Shirt,"Alvo Embroidered Oversized Tshirt","Made from plush bamboo terry, this off-white t-shirt brings elevated comfort with a structured fall. The silhouette stays simple, but the detail speaks—block-style embroidery across the collar and front draws from Portuguese tilework traditions, reinterpreting azulejo patterns through thread instead of glaze. Each embroidered block mirrors the order and ornament of old Portuguese facades—repeating forms, floral grids, and sacred symmetry—stitched with the intention of turning textile into architecture. It’s everyday ease woven with old-world memory—like lace etched into stone, or sunlight caught on faded tilework.","COTTON",3299,https://vasavi.co/products/alvo-embroidered-oversized-tshirt
T-Shirt,"Salcette Twill Tshirt","Elevate your wardrobe with this stylish twill shirt, featuring a unique knitted-style collar in subtle green shades for a touch of modern sophistication. Crafted in a full-sleeve, straight-fit silhouette, the shirt offers both comfort and clean lines. The all-over twill-printed effect adds texture and depth, making it a standout piece for casual and smart-casual settings alike.","COTTON",4299,https://vasavi.co/products/salcette-twill-tshirt
Hoodie,"HOODLINK HOODIE","Featuring unique drawstring detailing on the back and sleeves, along with a signature Vasavi embroidered patch, it delivers vintage-inspired depth with a bold, modern twist - made for comfort, styled for impact.","Fabrication - soft 280 GSM terry, designed in an oversized unisex fit.",3000,https://vasavi.co/products/hoodlink
Hoodie,"KHARE BROWN HOODIE","Features side flaps at both sides, adding a unique closure element and modern flair to the oversized silhouette. Hoodie at the Back: The added hoodie brings a stylish and functional element, perfect for layering. Perfect for casual outings or layered over other pieces, creating a bold, statement-making outfit.","Fabrication - luxurious suede, offering a soft and smooth texture for a premium feel.",7500,https://vasavi.co/products/khare-brown
Hoodie,"NOMAD VEIL HOODIE","With a distinctive rough texture, evoking the authenticity of the region's natural elements while offering modern sophistication. The sweater's deep green hue mirrors the moss-covered rock formations and the stark yet captivating scenery of Ladakh.","Fabrication - knitted fabric with soft feel and durability. Style - relaxed fit with running stitch embroidery, adding texture and a touch of craftsmanship to the design.",4799,https://vasavi.co/products/nomad-veil
Hoodie,"SKYDASH HOODIE","A rich, premium design, perfect for those looking for elevated streetwear with unique, functional details. Captured in the stunning Julley Ladakh, this oversized hoodie with mesh overlay exudes premium craftsmanship. The adjustable sleeve flaps and 320 gsm fabric elevate its bold, modern aesthetic against Ladakh's serene backdrop.","Fabrication - premium 320 GSM fabric, offering both warmth and durability with a luxe feel.",4199,https://vasavi.co/products/skydash
Hoodie,"THREADED HARMONY HOODIE","Featuring embossed Hindi Vasavi detailing, it blends cultural depth with contemporary comfort - bold, cozy, and made to break the norm.","Fabrication - 280 GSM terry, offering a soft and comfortable feel with a perfect balance of warmth and breathability.",3899,https://vasavi.co/products/threaded-harmony
Hoodie,"TSO VERDAN HOODIE","In the rugged beauty of Ladakh, this V-neck knitted sweater with handcrafted brand logo embroidery reflects timeless craftsmanship and modern style. The serene landscape complements its perfect blend of warmth and elegance, offering both comfort and sophistication.","Fabrication - soft, premium knitted fabric, offering warmth and comfort while maintaining a refined texture. Style - relaxed fit with V-neck. Color - rich blue.",5199,https://vasavi.co/products/tso-verdan
Hoodie,"VASATAR HOODIE","This premium hoodie from the Julley Ladakh Collection embodies the spirit of the region with its authentic design and exceptional craftsmanship. Featuring a comfortable fit and unique details inspired by traditional Ladakhi elements.","Fabrication - premium materials selected for both comfort and durability.",4200,https://vasavi.co/products/vasatar
Hoodie,"Viela Oversized Hoodie","This oversized hoodie is constructed from heavyweight fleece with a soft, structured fall. Along the hood and front pouch, you’ll find ornamental threadwork—inspired by the wrought iron railings of old Goan balconies and colonial staircases. The embroidery isn’t loud—it’s etched like memory—subtle, architectural, and intentionally placed where the body seeks rest: the head, the hands, the hold. This piece frames utility through heritage—where everyday comfort meets the artistry of space once designed to guard, guide, and gaze.","COTTON",4500,https://vasavi.co/products/viela-oversized-hoodie
